Country,Year,GDP
Afghanistan,2002,4128820723
Afghanistan,2003,4583644246
Afghanistan,2004,5285465686
Afghanistan,2005,6275073572
Afghanistan,2006,7057598407
Afghanistan,2007,9843842455
Afghanistan,2008,10190529882
Afghanistan,2009,12486943506
Afghanistan,2010,15936800636
Afghanistan,2011,17930239400
Afghanistan,2012,20536542737
Afghanistan,2013,20046334304
Afghanistan,2014,20050189882
Afghanistan,2015,19215562179
Afghanistan,2016,19469022208
Afghanistan,2017,
Algeria,2002,56760288974
Algeria,2003,67863829880
Algeria,2004,85324998814
Algeria,2005,1.03E+11
Algeria,2006,1.17E+11
Algeria,2007,1.35E+11
Algeria,2008,1.71E+11
Algeria,2009,1.37E+11
Algeria,2010,1.61E+11
Algeria,2011,2.00E+11
Algeria,2012,2.09E+11
Algeria,2013,2.10E+11
Algeria,2014,2.14E+11
Algeria,2015,1.66E+11
Algeria,2016,1.59E+11
Algeria,2017,
Angola,2002,12497346670
Angola,2003,14188949191
Angola,2004,19640848729
Angola,2005,28233712831
Angola,2006,41789478661
Angola,2007,60448921272
Angola,2008,84178032716
Angola,2009,75492384801
Angola,2010,82470913121
Angola,2011,1.04116E+11
Angola,2012,1.15398E+11
Angola,2013,1.24912E+11
Angola,2014,1.26777E+11
Angola,2015,1.02962E+11
Angola,2016,95335111741
Angola,2017,
Azerbaijan,2002,6.24E+09
Azerbaijan,2003,7.28E+09
Azerbaijan,2004,8.68E+09
Azerbaijan,2005,1.32E+10
Azerbaijan,2006,2.10E+10
Azerbaijan,2007,3.31E+10
Azerbaijan,2008,4.89E+10
Azerbaijan,2009,4.43E+10
Azerbaijan,2010,5.29E+10
Azerbaijan,2011,6.60E+10
Azerbaijan,2012,6.97E+10
Azerbaijan,2013,7.42E+10
Azerbaijan,2014,7.52E+10
Azerbaijan,2015,5.31E+10
Azerbaijan,2016,3.78E+10
Azerbaijan,2017,
Bangladesh,2002,54724081491
Bangladesh,2003,60158929188
Bangladesh,2004,65108544250
Bangladesh,2005,69442943089
Bangladesh,2006,71819083684
Bangladesh,2007,79611888213
Bangladesh,2008,91631278239
Bangladesh,2009,1.02478E+11
Bangladesh,2010,1.15279E+11
Bangladesh,2011,1.28638E+11
Bangladesh,2012,1.33356E+11
Bangladesh,2013,1.4999E+11
Bangladesh,2014,1.72885E+11
Bangladesh,2015,1.95079E+11
Bangladesh,2016,2.21415E+11
Bangladesh,2017,
Bosnia and Herzegovina,2002,6651226179
Bosnia and Herzegovina,2003,8370020196
Bosnia and Herzegovina,2004,10022840635
Bosnia and Herzegovina,2005,11225138297
Bosnia and Herzegovina,2006,12866524918
Bosnia and Herzegovina,2007,15776422673
Bosnia and Herzegovina,2008,19112739664
Bosnia and Herzegovina,2009,17613836210
Bosnia and Herzegovina,2010,17176781337
Bosnia and Herzegovina,2011,18644723861
Bosnia and Herzegovina,2012,17226849297
Bosnia and Herzegovina,2013,18178503835
Bosnia and Herzegovina,2014,18558343508
Bosnia and Herzegovina,2015,16209702864
Bosnia and Herzegovina,2016,16910277134
Bosnia and Herzegovina,2017,
Bulgaria,2002,16360346654
Bulgaria,2003,21074775206
Bulgaria,2004,26094622564
Bulgaria,2005,29821662537
Bulgaria,2006,34304448150
Bulgaria,2007,44765733380
Bulgaria,2008,54409138498
Bulgaria,2009,51884481410
Bulgaria,2010,50610031136
Bulgaria,2011,57418391042
Bulgaria,2012,53903028252
Bulgaria,2013,55758744571
Bulgaria,2014,5.67E+10
Bulgaria,2015,50199117547
Bulgaria,2016,53237882473
Bulgaria,2017,
Costa Rica,2002,16504795453
Costa Rica,2003,17195867540
Costa Rica,2004,18529767934
Costa Rica,2005,19952156475
Costa Rica,2006,22600431878
Costa Rica,2007,26743874287
Costa Rica,2008,30612932803
Costa Rica,2009,30562361123
Costa Rica,2010,37268635287
Costa Rica,2011,42262697840
Costa Rica,2012,46473128286
Costa Rica,2013,49745088112
Costa Rica,2014,50656002896
Costa Rica,2015,54840103850
Costa Rica,2016,57435507212
Costa Rica,2017,
Djibouti,2002,5.91E+08
Djibouti,2003,6.22E+08
Djibouti,2004,6.66E+08
Djibouti,2005,7.09E+08
Djibouti,2006,7.69E+08
Djibouti,2007,8.48E+08
Djibouti,2008,9.99E+08
Djibouti,2009,1.05E+09
Djibouti,2010,1.13E+09
Djibouti,2011,1.24E+09
Djibouti,2012,1.35E+09
Djibouti,2013,1.46E+09
Djibouti,2014,1.59E+09
Djibouti,2015,1.73E+09
Djibouti,2016,
Djibouti,2017,
Dominican Republic,2002,26571620979
Dominican Republic,2003,21277165886
Dominican Republic,2004,22039232610
Dominican Republic,2005,34004033804
Dominican Republic,2006,35952845583
Dominican Republic,2007,44169678153
Dominican Republic,2008,48288967303
Dominican Republic,2009,48376555306
Dominican Republic,2010,53954579004
Dominican Republic,2011,57746684847
Dominican Republic,2012,60613645121
Dominican Republic,2013,61965942057
Dominican Republic,2014,65231032303
Dominican Republic,2015,68102618092
Dominican Republic,2016,71583553488
Dominican Republic,2017,
El Salvador,2002,14306700000
El Salvador,2003,15046700000
El Salvador,2004,15798300000
El Salvador,2005,17093800000
El Salvador,2006,18550700000
El Salvador,2007,20104900000
El Salvador,2008,21430950000
El Salvador,2009,20661030000
El Salvador,2010,21418330000
El Salvador,2011,23139040000
El Salvador,2012,23813600000
El Salvador,2013,24350930000
El Salvador,2014,25054230000
El Salvador,2015,26052340000
El Salvador,2016,26797470000
El Salvador,2017,
Ethiopia,2002,7850809498
Ethiopia,2003,8623691300
Ethiopia,2004,10131187261
Ethiopia,2005,12401139454
Ethiopia,2006,15280861835
Ethiopia,2007,19707616773
Ethiopia,2008,27066912635
Ethiopia,2009,32437389116
Ethiopia,2010,29933790334
Ethiopia,2011,31952763089
Ethiopia,2012,43310721414
Ethiopia,2013,47648211133
Ethiopia,2014,55612228234
Ethiopia,2015,64464547915
Ethiopia,2016,72374224249
Ethiopia,2017,
Guatemala,2002,20776669467
Guatemala,2003,21917706491
Guatemala,2004,23965275996
Guatemala,2005,27211377225
Guatemala,2006,30231249362
Guatemala,2007,34113107086
Guatemala,2008,39136893345
Guatemala,2009,37733994976
Guatemala,2010,41338595381
Guatemala,2011,47654841113
Guatemala,2012,50388454861
Guatemala,2013,53851058955
Guatemala,2014,58722323918
Guatemala,2015,63767597194
Guatemala,2016,68763255964
Guatemala,2017,
Haiti,2002,3472194099
Haiti,2003,2960306121
Haiti,2004,3537721020
Haiti,2005,4310356253
Haiti,2006,4756204070
Haiti,2007,5885321656
Haiti,2008,6548530572
Haiti,2009,6584649419
Haiti,2010,6622541529
Haiti,2011,7516834160
Haiti,2012,7890216508
Haiti,2013,8452509316
Haiti,2014,8776360623
Haiti,2015,8724656126
Haiti,2016,8022638722
Haiti,2017,
Honduras,2002,7775078403
Honduras,2003,8140271081
Honduras,2004,8772194250
Honduras,2005,9672035709
Honduras,2006,10841742348
Honduras,2007,12275501784
Honduras,2008,13789715133
Honduras,2009,14587496229
Honduras,2010,15839344592
Honduras,2011,17710315006
Honduras,2012,18528506894
Honduras,2013,18496438641
Honduras,2014,19756494435
Honduras,2015,20844284855
Honduras,2016,21516938910
Honduras,2017,
India,2002,5.08069E+11
India,2003,5.99593E+11
India,2004,6.99689E+11
India,2005,8.08901E+11
India,2006,9.20317E+11
India,2007,1.20111E+12
India,2008,1.18695E+12
India,2009,1.32394E+12
India,2010,1.65662E+12
India,2011,1.82305E+12
India,2012,1.82764E+12
India,2013,1.85672E+12
India,2014,2.03539E+12
India,2015,2.08987E+12
India,2016,2.26379E+12
India,2017,
Indonesia,2002,2.08325E+11
Indonesia,2003,2.49968E+11
Indonesia,2004,2.73461E+11
Indonesia,2005,3.04372E+11
Indonesia,2006,3.88168E+11
Indonesia,2007,4.60193E+11
Indonesia,2008,5.43254E+11
Indonesia,2009,5.74505E+11
Indonesia,2010,7.55094E+11
Indonesia,2011,8.92969E+11
Indonesia,2012,9.1787E+11
Indonesia,2013,9.12524E+11
Indonesia,2014,8.90815E+11
Indonesia,2015,8.61256E+11
Indonesia,2016,9.32259E+11
Indonesia,2017,
Iran (Islamic Republic Of),2002,1.28627E+11
Iran (Islamic Republic Of),2003,1.53545E+11
Iran (Islamic Republic Of),2004,1.90043E+11
Iran (Islamic Republic Of),2005,2.26452E+11
Iran (Islamic Republic Of),2006,2.66299E+11
Iran (Islamic Republic Of),2007,3.49882E+11
Iran (Islamic Republic Of),2008,4.06071E+11
Iran (Islamic Republic Of),2009,4.14059E+11
Iran (Islamic Republic Of),2010,4.8707E+11
Iran (Islamic Republic Of),2011,5.835E+11
Iran (Islamic Republic Of),2012,5.98853E+11
Iran (Islamic Republic Of),2013,4.67415E+11
Iran (Islamic Republic Of),2014,4.34475E+11
Iran (Islamic Republic Of),2015,3.85874E+11
Iran (Islamic Republic Of),2016,4.18977E+11
Iran (Islamic Republic Of),2017,
Jamaica,2002,9694161516
Jamaica,2003,9399452788
Jamaica,2004,10150978155
Jamaica,2005,11204416000
Jamaica,2006,11905525197
Jamaica,2007,12824094990
Jamaica,2008,13678606692
Jamaica,2009,12038829246
Jamaica,2010,13191645686
Jamaica,2011,14439910353
Jamaica,2012,14800165407
Jamaica,2013,14274983016
Jamaica,2014,13897723431
Jamaica,2015,14186886643
Jamaica,2016,14056908749
Jamaica,2017,
Kenya,2002,13147743911
Kenya,2003,14904517650
Kenya,2004,16095337094
Kenya,2005,18737897745
Kenya,2006,25825524821
Kenya,2007,31958195182
Kenya,2008,35895153328
Kenya,2009,37021512049
Kenya,2010,39999659234
Kenya,2011,41953433591
Kenya,2012,50412754822
Kenya,2013,55097343448
Kenya,2014,61445345999
Kenya,2015,63767539357
Kenya,2016,70529014778
Kenya,2017,
Madagascar,2002,4397254608
Madagascar,2003,5474030080
Madagascar,2004,4363934494
Madagascar,2005,5039293031
Madagascar,2006,5515884349
Madagascar,2007,7342923489
Madagascar,2008,9413002921
Madagascar,2009,8550363975
Madagascar,2010,8729936136
Madagascar,2011,9892702358
Madagascar,2012,9919780071
Madagascar,2013,10601690872
Madagascar,2014,10673516673
Madagascar,2015,9744243420
Madagascar,2016,10001193420
Madagascar,2017,
Mexico,2002,7.4156E+11
Mexico,2003,7.13284E+11
Mexico,2004,7.70268E+11
Mexico,2005,8.66346E+11
Mexico,2006,9.65281E+11
Mexico,2007,1.04347E+12
Mexico,2008,1.10128E+12
Mexico,2009,8.94949E+11
Mexico,2010,1.05113E+12
Mexico,2011,1.17119E+12
Mexico,2012,1.1866E+12
Mexico,2013,1.26198E+12
Mexico,2014,1.29846E+12
Mexico,2015,1.15226E+12
Mexico,2016,1.04692E+12
Mexico,2017,
Morocco,2002,42236836821
Morocco,2003,52064058834
Morocco,2004,59626020162
Morocco,2005,62343022651
Morocco,2006,68640825481
Morocco,2007,79041294874
Morocco,2008,92507257784
Morocco,2009,92897320376
Morocco,2010,93216746662
Morocco,2011,1.0137E+11
Morocco,2012,98266306615
Morocco,2013,1.06826E+11
Morocco,2014,1.10081E+11
Morocco,2015,1.01187E+11
Morocco,2016,1.03606E+11
Morocco,2017,
Mozambique,2002,5031510909
Mozambique,2003,5597367853
Mozambique,2004,6831808930
Mozambique,2005,7723846195
Mozambique,2006,8312078525
Mozambique,2007,9366742309
Mozambique,2008,11494837053
Mozambique,2009,10911698208
Mozambique,2010,10154238250
Mozambique,2011,13131168012
Mozambique,2012,14534278446
Mozambique,2013,16018848991
Mozambique,2014,16961127046
Mozambique,2015,14798439527
Mozambique,2016,11014858592
Mozambique,2017,
Myanmar,2002,6777632512
Myanmar,2003,10467109978
Myanmar,2004,10567354056
Myanmar,2005,11986972419
Myanmar,2006,14502553710
Myanmar,2007,20182477481
Myanmar,2008,31862554102
Myanmar,2009,36906181381
Myanmar,2010,49540813342
Myanmar,2011,59977326086
Myanmar,2012,59937797559
Myanmar,2013,60269734045
Myanmar,2014,65446402659
Myanmar,2015,59687373958
Myanmar,2016,63225097051
Myanmar,2017,
Namibia,2002,3361251198
Namibia,2003,4931312147
Namibia,2004,6606858786
Namibia,2005,7261333795
Namibia,2006,7978734402
Namibia,2007,8740865600
Namibia,2008,8486721917
Namibia,2009,8876191121
Namibia,2010,11282192605
Namibia,2011,12409629836
Namibia,2012,13016272899
Namibia,2013,12717790501
Namibia,2014,12786078004
Namibia,2015,11571141027
Namibia,2016,10947880690
Namibia,2017,
Nepal,2002,6050875807
Nepal,2003,6330473097
Nepal,2004,7273938315
Nepal,2005,8130258041
Nepal,2006,9043715356
Nepal,2007,10325618017
Nepal,2008,12545438605
Nepal,2009,12854985464
Nepal,2010,16002656434
Nepal,2011,18913574371
Nepal,2012,18851513891
Nepal,2013,19271168018
Nepal,2014,20002968838
Nepal,2015,21410840909
Nepal,2016,21131983246
Nepal,2017,
Nicaragua,2002,5224213018
Nicaragua,2003,5322454926
Nicaragua,2004,5795568205
Nicaragua,2005,6321335612
Nicaragua,2006,6763671611
Nicaragua,2007,7423377429
Nicaragua,2008,8496965842
Nicaragua,2009,8298695145
Nicaragua,2010,8758622329
Nicaragua,2011,9774316692
Nicaragua,2012,10532001130
Nicaragua,2013,10982972256
Nicaragua,2014,11880438824
Nicaragua,2015,12747741540
Nicaragua,2016,13230844687
Nicaragua,2017,
Niger (the),2002,2170481509
Niger (the),2003,2731416346
Niger (the),2004,3052898739
Niger (the),2005,3405134832
Niger (the),2006,3646728060
Niger (the),2007,4291363391
Niger (the),2008,5403363917
Niger (the),2009,5397121856
Niger (the),2010,5718589799
Niger (the),2011,6409169890
Niger (the),2012,6942209595
Niger (the),2013,7667951988
Niger (the),2014,8229730067
Niger (the),2015,7217666361
Niger (the),2016,7528387858
Niger (the),2017,
Pakistan,2002,72306820396
Pakistan,2003,83244801093
Pakistan,2004,97977766198
Pakistan,2005,1.09502E+11
Pakistan,2006,1.37264E+11
Pakistan,2007,1.52386E+11
Pakistan,2008,1.70078E+11
Pakistan,2009,1.68153E+11
Pakistan,2010,1.77407E+11
Pakistan,2011,2.13587E+11
Pakistan,2012,2.24384E+11
Pakistan,2013,2.31219E+11
Pakistan,2014,2.44361E+11
Pakistan,2015,2.70556E+11
Pakistan,2016,2.78913E+11
Pakistan,2017,
Peru,2002,54777553515
Peru,2003,58731030122
Peru,2004,66768703498
Peru,2005,76060606061
Peru,2006,88643193062
Peru,2007,1.02171E+11
Peru,2008,1.20551E+11
Peru,2009,1.20823E+11
Peru,2010,1.47529E+11
Peru,2011,1.71762E+11
Peru,2012,1.92649E+11
Peru,2013,2.01218E+11
Peru,2014,2.0105E+11
Peru,2015,1.89212E+11
Peru,2016,1.92207E+11
Peru,2017,
Philippines (the),2002,81357602950
Philippines (the),2003,83908206456
Philippines (the),2004,91371239765
Philippines (the),2005,1.03072E+11
Philippines (the),2006,1.22211E+11
Philippines (the),2007,1.4936E+11
Philippines (the),2008,1.74195E+11
Philippines (the),2009,1.68335E+11
Philippines (the),2010,1.99591E+11
Philippines (the),2011,2.24143E+11
Philippines (the),2012,2.50092E+11
Philippines (the),2013,2.71836E+11
Philippines (the),2014,2.84585E+11
Philippines (the),2015,2.92774E+11
Philippines (the),2016,3.04905E+11
Philippines (the),2017,
Romania,2002,46174557556
Romania,2003,59867801205
Romania,2004,76216441462
Romania,2005,99697566668
Romania,2006,1.23533E+11
Romania,2007,1.71537E+11
Romania,2008,2.08182E+11
Romania,2009,1.67423E+11
Romania,2010,1.67998E+11
Romania,2011,1.85363E+11
Romania,2012,1.71665E+11
Romania,2013,1.91549E+11
Romania,2014,1.99493E+11
Romania,2015,1.77911E+11
Romania,2016,1.87592E+11
Romania,2017,
Somalia,2002,
Somalia,2003,
Somalia,2004,
Somalia,2005,
Somalia,2006,
Somalia,2007,
Somalia,2008,
Somalia,2009,
Somalia,2010,
Somalia,2011,
Somalia,2012,
Somalia,2013,5352000000
Somalia,2014,5647000000
Somalia,2015,5925000000
Somalia,2016,6217000000
Somalia,2017,
South Africa,2002,1.15748E+11
South Africa,2003,1.75257E+11
South Africa,2004,2.28937E+11
South Africa,2005,2.57671E+11
South Africa,2006,2.71811E+11
South Africa,2007,2.99034E+11
South Africa,2008,2.871E+11
South Africa,2009,2.97217E+11
South Africa,2010,3.75298E+11
South Africa,2011,4.16878E+11
South Africa,2012,3.96333E+11
South Africa,2013,3.6681E+11
South Africa,2014,3.51119E+11
South Africa,2015,3.17611E+11
South Africa,2016,2.95456E+11
South Africa,2017,
Sri Lanka,2002,16536535647
Sri Lanka,2003,18881765437
Sri Lanka,2004,20662525941
Sri Lanka,2005,24406252457
Sri Lanka,2006,28279814925
Sri Lanka,2007,32350248411
Sri Lanka,2008,40713812310
Sri Lanka,2009,42066217872
Sri Lanka,2010,56725745039
Sri Lanka,2011,65292741297
Sri Lanka,2012,68434399083
Sri Lanka,2013,74317806755
Sri Lanka,2014,79356456990
Sri Lanka,2015,80611989527
Sri Lanka,2016,81321876307
Sri Lanka,2017,
Tajikistan,2002,1221113780
Tajikistan,2003,1554125531
Tajikistan,2004,2076148696
Tajikistan,2005,2312319579
Tajikistan,2006,2830236054
Tajikistan,2007,3719497371
Tajikistan,2008,5161336170
Tajikistan,2009,4979481980
Tajikistan,2010,5642178580
Tajikistan,2011,6522732203
Tajikistan,2012,7633049792
Tajikistan,2013,8506674783
Tajikistan,2014,9236309138
Tajikistan,2015,7853450374
Tajikistan,2016,6951657159
Tajikistan,2017,
Viet Nam,2002,35064105501
Viet Nam,2003,39552513316
Viet Nam,2004,45427854693
Viet Nam,2005,57633255618
Viet Nam,2006,66371664817
Viet Nam,2007,77414425532
Viet Nam,2008,99130304099
Viet Nam,2009,1.06015E+11
Viet Nam,2010,1.15932E+11
Viet Nam,2011,1.35539E+11
Viet Nam,2012,1.5582E+11
Viet Nam,2013,1.71222E+11
Viet Nam,2014,1.86205E+11
Viet Nam,2015,1.93241E+11
Viet Nam,2016,2.05276E+11
Viet Nam,2017,
Yemen,2002,10693278292
Yemen,2003,11777768087
Yemen,2004,13873500888
Yemen,2005,16753769532
Yemen,2006,19081722875
Yemen,2007,21656517484
Yemen,2008,26910851362
Yemen,2009,25130274124
Yemen,2010,30906749533
Yemen,2011,32726417878
Yemen,2012,35393148127
Yemen,2013,40415233436
Yemen,2014,43228583935
Yemen,2015,37733919936
Yemen,2016,27317605346
Yemen,2017,
